fiscal_year,Query_Run,SubCustomer,ServicesCategory,SumOfobligatedAmount,SumOfnumberOfActions
2003,04:31.0,Navy,R&D,10054158802,10151
1995,04:31.0,DLA,R&D,13998525,34
2001,04:31.0,Army,Fuel,5003551,93
2009,04:31.0,MilitaryHealth,FRS&C,30000,2
2014,04:31.0,MDA,FRS&C,17743124.45,39
1995,04:31.0,DLA,PAMS,48547271,258
2008,04:31.0,Army,ICT,3465842799,14876
2001,04:31.0,Navy,NULL,396812.83,12
2009,04:31.0,Navy,Fuel,17078324.17,524
2012,04:31.0,Army,PAMS,26088581125,73432
2002,04:31.0,MDA,ERS,143615.2,1
2008,04:31.0,DLA,NULL,0,NULL
2005,04:31.0,DLA,ERS,181893434.2,3007
1993,04:31.0,Air Force,PAMS,3557647002,NULL
1991,04:31.0,Other DoD,ICT,995664000,NULL
2005,04:31.0,Other DoD,NULL,563383.2,82
2013,04:31.0,MilitaryHealth,Fuel,1825000,2
1997,04:31.0,Air Force,Fuel,82113330,264
1993,04:31.0,Air Force,R&D,9806353387,NULL
2007,04:31.0,Other DoD,MED,3813497,67
2012,04:31.0,DLA,R&D,23337878.84,100
2012,04:31.0,DLA,FRS&C,714747939.8,11622
2005,04:31.0,Navy,FRS&C,6082514176,39597
1999,04:31.0,MilitaryHealth,ICT,-1155842,9
1994,04:31.0,Navy,Products,17314528225,23915
2002,04:31.0,NULL,Products,0,NULL
2002,04:31.0,Air Force,MED,45197393,279
1995,04:31.0,Army,FRS&C,8408025701,21309
2010,04:31.0,Army,R&D,8529727526,17072
2003,04:31.0,DLA,Products,10991647873,86427
1997,04:31.0,Army,FRS&C,8618796806,24374
2008,04:31.0,Air Force,PAMS,10890899953,32359
1993,04:31.0,Army,PAMS,3442439621,NULL
1997,04:31.0,Air Force,R&D,8282860396,6499
2011,04:31.0,MilitaryHealth,FRS&C,8464.58,6
2008,04:31.0,Other DoD,Products,1995350775,14440
2003,04:31.0,Navy,NULL,2995459.43,66
1998,04:31.0,Navy,Products,16723412952,21460
1993,04:31.0,Army,FRS&C,7809412781,NULL
2003,04:31.0,MilitaryHealth,ICT,267806,10
1994,04:31.0,MilitaryHealth,PAMS,354684912,64
2002,04:31.0,NULL,Fuel,0,NULL
2009,04:31.0,Navy,Products,45978801926,148684
2004,04:31.0,MilitaryHealth,Products,612094,16
1992,04:31.0,Navy,ERS,5508591347,1
1992,04:31.0,Navy,R&D,5128713949,1
2013,04:31.0,Navy,Fuel,27925132.09,478
2003,04:31.0,MDA,PAMS,50535050.9,114
1996,04:31.0,Other DoD,R&D,672024290,1284
2005,04:31.0,MilitaryHealth,MED,6397889563,569
2005,04:31.0,Army,Fuel,42288386,1075
2003,04:31.0,MilitaryHealth,MED,5882504451,588
1997,04:31.0,DLA,PAMS,80541332,440
2013,04:31.0,MilitaryHealth,ERS,1246927.885,95
1991,04:31.0,Army,R&D,4427159000,NULL
2010,04:31.0,Army,ICT,4189735876,14327
1990,04:31.0,Navy,R&D,5386699764,NULL
2007,04:31.0,Navy,Products,40766572285,149429
2012,04:31.0,MilitaryHealth,ICT,33820941.05,94
1993,04:31.0,Other DoD,ERS,49327825,NULL
2006,04:31.0,Army,PAMS,21250604363,63728
2014,04:31.0,MilitaryHealth,MED,12580340280,947
1989,04:31.0,Army,R&D,14983000,NULL
1990,04:31.0,Air Force,ERS,1646144000,NULL
1991,04:31.0,Army,FRS&C,8228012000,NULL
1999,04:31.0,Navy,FRS&C,4937494864,11773
1995,04:31.0,Air Force,R&D,8811071363,6790
2008,04:31.0,Air Force,NULL,0,NULL
2005,04:31.0,DLA,Fuel,9497647051,2347
1997,04:31.0,Army,PAMS,4256896053,16658
1991,04:31.0,Air Force,ICT,1059478000,NULL
1994,04:31.0,Other DoD,Fuel,186486,5
2006,04:31.0,Other DoD,Products,2246699620,16273
1997,04:31.0,Air Force,ERS,3100735510,3970
2011,04:31.0,DLA,ERS,109440235.2,2319
2014,04:31.0,DLA,Fuel,11686867972,21226
2001,04:31.0,Army,Products,15342427086,25911
1991,04:31.0,DLA,FRS&C,137659000,NULL
1999,04:31.0,Air Force,FRS&C,3231950553,9809
1999,04:31.0,Army,Products,11867122857,22574
2001,04:31.0,Navy,FRS&C,5668830621,27724
2001,04:31.0,MDA,FRS&C,108534775,101
2004,04:31.0,Air Force,FRS&C,4410077608,14703
2014,04:31.0,Army,Fuel,423750222.2,2481
1987,04:31.0,Army,ICT,-171000,NULL
2013,04:31.0,Other DoD,PAMS,5410290471,20462
2003,04:31.0,Other DoD,R&D,874405437.1,1125
1988,04:31.0,Navy,MED,25000,NULL
2008,04:31.0,Navy,ICT,5292496947,42327
1991,04:31.0,Other DoD,ERS,13402000,NULL
2000,04:31.0,MDA,ICT,5474213,13
1995,04:31.0,Navy,MED,175289527,518
2014,04:31.0,Air Force,PAMS,10646454699,24582
2005,04:31.0,Navy,NULL,415117,3
2014,04:31.0,Navy,PAMS,10434103309,46999
2001,04:31.0,DLA,Products,6516315911,55370
2009,04:31.0,MilitaryHealth,NULL,303279,1
2008,04:31.0,DLA,PAMS,368599843.4,2236
1994,04:31.0,Other DoD,MED,14043987,25
2002,04:31.0,MDA,ICT,19762042,56
2000,04:31.0,Air Force,MED,15506867,150
2010,04:31.0,DLA,ICT,577144449.1,1918
2009,04:31.0,Army,ERS,5243919464,28749
2006,04:31.0,DLA,PAMS,201965265,1595
2001,04:31.0,MDA,R&D,1550045227,248
2003,04:31.0,NULL,Fuel,0,NULL
2006,04:31.0,Air Force,ICT,2714269811,8337
1994,04:31.0,Army,FRS&C,7160112085,17157
2006,04:31.0,Air Force,Products,26459132515,96167
1998,04:31.0,DLA,Products,3879985381,34651
1991,04:31.0,Navy,R&D,4326067573,2
2006,04:31.0,Other DoD,ICT,4048335790,14086
2002,04:31.0,Navy,NULL,52766816.14,46
1998,04:31.0,Army,Products,10092138202,22056
2013,04:31.0,DLA,R&D,15823799.66,106
2009,04:31.0,MilitaryHealth,PAMS,7115253.93,21
2001,04:31.0,Air Force,Fuel,26214217,180
2012,04:31.0,MilitaryHealth,FRS&C,1923038.25,15
1990,04:31.0,Navy,PAMS,4343410835,2
1990,04:31.0,Other DoD,R&D,1383473000,NULL
2001,04:31.0,Other DoD,NULL,626059,17
2008,04:31.0,DLA,FRS&C,748666649.6,13528
2012,04:31.0,MDA,ERS,58421448.52,40
1989,04:31.0,Navy,Fuel,39000,NULL
1996,04:31.0,Navy,ICT,1091424102,5006
2004,04:31.0,MilitaryHealth,MED,5120436793,701
2013,04:31.0,Air Force,PAMS,10312259361,27954
1991,04:31.0,DLA,PAMS,29494000,NULL
2010,04:31.0,Air Force,R&D,13377744231,17811
2002,04:31.0,MilitaryHealth,ICT,-45921,5
2000,04:31.0,Air Force,ERS,2510815032,4301
2014,04:31.0,Other DoD,PAMS,4669256337,19430
1992,04:31.0,Army,R&D,5038330514,NULL
2008,04:31.0,Other DoD,ERS,2604581378,5660
2008,04:31.0,Army,FRS&C,28983688488,87461
2006,04:31.0,Army,R&D,10436498873,14240
2009,04:31.0,MDA,FRS&C,34203056.48,76
1990,04:31.0,DLA,Fuel,4871689000,NULL
2009,04:31.0,Army,Products,60401583242,228476
1995,04:31.0,Other DoD,ICT,1350092310,4452
2004,04:31.0,Army,Fuel,12594603,750
1998,04:31.0,Air Force,FRS&C,3334967635,10033
2009,04:31.0,Other DoD,MED,3156210.21,101
2012,04:31.0,Air Force,Fuel,17348169.89,319
2010,04:31.0,DLA,NULL,-17073.24,4
2007,04:31.0,Navy,ICT,5180053579,44493
2007,04:31.0,Air Force,ERS,6087369777,15760
2004,04:31.0,Army,MED,1019647814,7457
1996,04:31.0,Other DoD,Products,696059430,3149
2007,04:31.0,Navy,Fuel,19252957.28,596
2010,04:31.0,DLA,ERS,101168251.6,2974
2009,04:31.0,Army,ICT,3511734203,15232
2008,04:31.0,Navy,Products,51510991185,159539
2007,04:31.0,Other DoD,Products,1670109502,12872
1995,04:31.0,Navy,ERS,4903007296,9166
2000,04:31.0,Navy,FRS&C,4804799381,25522
1998,04:31.0,MDA,FRS&C,12007965,31
1990,04:31.0,DLA,FRS&C,103698000,NULL
1990,04:31.0,Other DoD,ERS,9048000,NULL
2003,04:31.0,Army,ERS,2042917146,12092
2006,04:31.0,Other DoD,Fuel,201019,20
1989,04:31.0,Other DoD,PAMS,3488000,NULL
2005,04:31.0,Air Force,FRS&C,5079809594,19219
2004,04:31.0,DLA,Fuel,6499707680,1091
1999,04:31.0,DLA,ERS,37471949,210
2009,04:31.0,Navy,ERS,6787064210,36515
2009,04:31.0,DLA,ICT,406745532.2,1661
2010,04:31.0,Army,ERS,5368452652,30663
1991,04:31.0,Army,PAMS,2701555000,NULL
1995,04:31.0,DLA,ICT,36426555,202
2006,04:31.0,MilitaryHealth,ICT,282219.96,11
2001,04:31.0,Other DoD,FRS&C,355727228,403
2010,04:31.0,Navy,MED,612902674.3,6282
2014,04:31.0,Air Force,R&D,9167276186,13875
2001,04:31.0,Air Force,MED,30199957,197
1997,04:31.0,Navy,ICT,1176195746,4486
2013,04:31.0,MilitaryHealth,Products,41698342.76,352
2002,04:31.0,Air Force,Fuel,6312070,37
2011,04:31.0,Other DoD,FRS&C,224821818.1,1494
2001,04:31.0,DLA,ICT,243838065.7,432
2005,04:31.0,DLA,R&D,20638939,130
2008,04:31.0,Navy,R&D,12591754003,13898
2009,04:31.0,DLA,FRS&C,603568929.8,13881
2004,04:31.0,Other DoD,FRS&C,358297692.5,1133
2006,04:31.0,Navy,R&D,14643844774,14008
2000,04:31.0,Army,ERS,1407625669,3201
2007,04:31.0,DLA,FRS&C,1297502799,12808
2002,04:31.0,Other DoD,NULL,3257853.25,23
2008,04:31.0,Navy,ERS,6361052991,36279
1990,04:31.0,DLA,PAMS,31235000,NULL
2012,04:31.0,Other DoD,R&D,1785990101,4298
1998,04:31.0,Army,Fuel,9184830,71
2005,04:31.0,Air Force,PAMS,11042697631,24852
2011,04:31.0,Air Force,R&D,13605050287,18182
2013,04:31.0,Navy,MED,351650623.9,4874
2002,04:31.0,DLA,ERS,53581389,342
2011,04:31.0,Army,NULL,-60234.57,28
1995,04:31.0,MDA,R&D,251001833,301
2004,04:31.0,Navy,MED,262766097.4,2510
1988,04:31.0,Other DoD,Products,44000,NULL
2012,04:31.0,MDA,Products,2371209369,446
1999,04:31.0,Navy,Fuel,5055846,67
2011,04:31.0,MDA,ICT,2833540.53,23
1996,04:31.0,Army,MED,171059238,1187
2006,04:31.0,Air Force,ERS,5567915090,12641
1997,04:31.0,Other DoD,Products,729678573,3440
2011,04:31.0,Air Force,Fuel,15212546.3,243
2010,04:31.0,Navy,ERS,6068063994,38144
1994,04:31.0,Army,ICT,1359381135,3965
2004,04:31.0,MDA,R&D,3010875716,443
1990,04:31.0,Other DoD,Products,418417000,NULL
1995,04:31.0,MilitaryHealth,FRS&C,122889,1
NULL,04:31.0,Navy,NULL,NULL,NULL
2004,04:31.0,Other DoD,PAMS,2170136372,4671
2003,04:31.0,Other DoD,ICT,3376328340,9720
2000,04:31.0,Other DoD,NULL,2213101,11
1996,04:31.0,Other DoD,ICT,1541848921,6107
1998,04:31.0,DLA,Fuel,3004717790,747
2008,04:31.0,Navy,Fuel,21215768.99,577
1998,04:31.0,Navy,PAMS,5508109283,19111
2014,04:31.0,Other DoD,R&D,1732456221,4868
2010,04:31.0,MDA,PAMS,409228471.2,1033
1993,04:31.0,Navy,Products,19370538343,446
2008,04:31.0,MilitaryHealth,PAMS,6245907.56,25
2000,04:31.0,MDA,R&D,1367983248,392
1994,04:31.0,Air Force,PAMS,4455388772,9408
2013,04:31.0,Air Force,FRS&C,3930450881,22307
2009,04:31.0,Army,R&D,9491667665,17680
2009,04:31.0,Air Force,ICT,2653103435,9861
2011,04:31.0,Army,FRS&C,26856899055,101437
2002,04:31.0,Army,FRS&C,11736379068,46547
2007,04:31.0,DLA,R&D,15165412.79,143
2008,04:31.0,Other DoD,MED,2926798.18,73
2001,04:31.0,Army,MED,814026393.3,1817
2001,04:31.0,DLA,MED,1154403,5
1989,04:31.0,Navy,PAMS,86355000,NULL
1988,04:31.0,Navy,ICT,57000,NULL
2011,04:31.0,Navy,MED,556895049.5,5494
2000,04:31.0,Navy,PAMS,6219561585,24767
2012,04:31.0,Other DoD,Fuel,2278763.45,17
1992,04:31.0,Army,PAMS,2967051546,NULL
2007,04:31.0,Air Force,MED,277752795.6,3574
2007,04:31.0,Other DoD,ERS,571190326.4,3089
2002,04:31.0,Other DoD,FRS&C,773341973,567
2010,04:31.0,Other DoD,MED,-2677789.91,149
1990,04:31.0,Air Force,NULL,NULL,NULL
2013,04:31.0,DLA,ICT,511998342.5,1397
2007,04:31.0,MDA,Products,418631872.7,251
2010,04:31.0,Other DoD,Products,2206809022,22844
1998,04:31.0,Other DoD,MED,243451,4
1997,04:31.0,Navy,FRS&C,4912949333,11664
2008,04:31.0,MDA,Products,895917861,278
2013,04:31.0,Army,ERS,4767850384,23892
1996,04:31.0,DLA,MED,683621,8
1994,04:31.0,Other DoD,ERS,39675586,110
2014,04:31.0,DLA,ERS,89184305.7,2940
2012,04:31.0,MilitaryHealth,PAMS,59889416.38,558
2009,04:31.0,Other DoD,Fuel,525966.81,5
1999,04:31.0,Army,ERS,1294432643,3312
2013,04:31.0,DLA,Products,18074782516,519524
2010,04:31.0,Other DoD,Fuel,198115.34,6
2002,04:31.0,Army,PAMS,7210830118,33294
1999,04:31.0,DLA,ICT,263095569,503
1996,04:31.0,MDA,ICT,348205,2
1992,04:31.0,Navy,ICT,1019095570,NULL
2013,04:31.0,Army,ICT,3568491557,11156
1996,04:31.0,Navy,FRS&C,5193086732,12378
1997,04:31.0,DLA,MED,442272,7
2010,04:31.0,Air Force,Products,24924410918,89453
1994,04:31.0,Navy,R&D,6101123111,8106
1998,04:31.0,DLA,ICT,106609647,439
1991,04:31.0,Air Force,Products,22172471000,NULL
1991,04:31.0,Navy,ERS,5339597603,NULL
1995,04:31.0,MDA,ICT,592440,7
2012,04:31.0,Navy,R&D,10422670657,15385
2013,04:31.0,Other DoD,MED,32261324.31,121
1999,04:31.0,Air Force,PAMS,5025798036,10918
2006,04:31.0,Navy,ERS,6521406053,32550
1998,04:31.0,Army,ICT,1400421214,5178
1998,04:31.0,Air Force,PAMS,4574826804,10357
2000,04:31.0,Other DoD,PAMS,648035206.4,1775
2014,04:31.0,DLA,MED,2391451.935,45
2000,04:31.0,Other DoD,R&D,595622438.8,1109
2010,04:31.0,Air Force,ICT,2198053999,9611
1991,04:31.0,Air Force,Fuel,84827000,NULL
1990,04:31.0,Other DoD,FRS&C,26408000,NULL
2012,04:31.0,Other DoD,ERS,5934709965,10816823
2000,04:31.0,Army,MED,682151044.8,1372
2010,04:31.0,Air Force,ERS,6941301841,15184
1990,04:31.0,Army,FRS&C,3968229000,NULL
2014,04:31.0,MDA,ICT,47663147.26,93
1993,04:31.0,Other DoD,Products,1156462477,NULL
2007,04:31.0,MilitaryHealth,MED,9060014915,818
2013,04:31.0,Army,Products,30475967029,129661
2008,04:31.0,MilitaryHealth,MED,9161969197,904
1994,04:31.0,MilitaryHealth,MED,511658746,154
2011,04:31.0,Navy,PAMS,13323562125,59634
1998,04:31.0,MDA,R&D,537404878,516
2013,04:31.0,DLA,ERS,123658642.7,2973
1996,04:31.0,Air Force,ERS,2845667575,4396
1988,04:31.0,Navy,ERS,2935000,NULL
2000,04:31.0,DLA,MED,1614219,8
1996,04:31.0,Air Force,ICT,905480586,3148
2014,04:31.0,Army,MED,806453375.7,6424
1995,04:31.0,Other DoD,MED,2322347,7
2014,04:31.0,Navy,FRS&C,7762541031,34241
1989,04:31.0,Navy,MED,156000,NULL
2005,04:31.0,MDA,FRS&C,180336667.7,287
1992,04:31.0,Other DoD,Products,1097838195,NULL
1995,04:31.0,MilitaryHealth,PAMS,-44198856,34
2011,04:31.0,Air Force,ERS,7482231798,15587
1997,04:31.0,Other DoD,ERS,83382710,113
2001,04:31.0,Other DoD,R&D,544811219.7,883
2010,04:31.0,Navy,ICT,4388219799,33851
1993,04:31.0,Navy,ICT,915358156,101
2003,04:31.0,Army,R&D,7064903545,13152
1999,04:31.0,Other DoD,PAMS,518799576,1728
1995,04:31.0,Air Force,ICT,931920019,3261
2013,04:31.0,Air Force,MED,335659630.5,5193
1989,04:31.0,Other DoD,FRS&C,3540000,NULL
2011,04:31.0,MDA,ERS,64650335.95,68
2004,04:31.0,DLA,R&D,13770758,23
2009,04:31.0,Other DoD,Products,2178574737,18763
2012,04:31.0,Navy,ICT,4964439193,33100
2011,04:31.0,DLA,Products,20471073603,555324
1993,04:31.0,Navy,R&D,4886811911,44
2010,04:31.0,Army,Products,57034798492,215851
1990,04:31.0,Air Force,Products,21077465000,NULL
2007,04:31.0,Air Force,Products,30530269527,94645
2005,04:31.0,Navy,MED,356679160.1,3752
2012,04:31.0,MilitaryHealth,R&D,6685309.45,27
1999,04:31.0,MDA,PAMS,217437,3
1995,04:31.0,Other DoD,ERS,127617786,83
2002,04:31.0,Other DoD,PAMS,1245048347,2583
2010,04:31.0,Army,Fuel,280561249.4,2043
2003,04:31.0,DLA,PAMS,342984516.1,986
2003,04:31.0,MDA,FRS&C,136673444,281
2012,04:31.0,MDA,ICT,38980330.36,40
2001,04:31.0,Other DoD,PAMS,661951610.2,1734
2007,04:31.0,Navy,ERS,7114979409,37680
1995,04:31.0,Other DoD,Products,548718487,2545
2006,04:31.0,MDA,Products,278295809,117
1988,04:31.0,Navy,Products,2931670,NULL
1990,04:31.0,Navy,NULL,NULL,NULL
2012,04:31.0,Air Force,ICT,1785748426,7874
1989,04:31.0,Navy,Products,310973946,NULL
1997,04:31.0,MilitaryHealth,PAMS,-1361020,25
1995,04:31.0,Navy,ICT,1112191669,4984
1996,04:31.0,Other DoD,ERS,137453297,91
2013,04:31.0,Navy,PAMS,9681918283,49201
2013,04:31.0,DLA,MED,2910703.158,38
1996,04:31.0,MilitaryHealth,PAMS,3530196,21
2014,04:31.0,MilitaryHealth,PAMS,343208319.9,298
2014,04:31.0,Army,Products,26340617526,124941
1999,04:31.0,Army,MED,617149868,1502
2007,04:31.0,Air Force,Fuel,10059694.63,197
2008,04:31.0,Other DoD,Fuel,54740.75,4
1998,04:31.0,Army,MED,207543554,1414
2006,04:31.0,DLA,FRS&C,894707421.4,12454
1998,04:31.0,Army,ERS,1088644448,3344
2013,04:31.0,MDA,R&D,3289935616,2623
2006,04:31.0,Air Force,Fuel,6881749,170
2014,04:31.0,MDA,R&D,3650773701,2675
2013,04:31.0,Other DoD,NULL,0,5
1989,04:31.0,Navy,ERS,498591000,NULL
1998,04:31.0,DLA,ERS,54089242,203
2009,04:31.0,MilitaryHealth,MED,11810012162,798
2007,04:31.0,Other DoD,Fuel,57134,6
1999,04:31.0,MDA,R&D,921573411,530
2009,04:31.0,Navy,ICT,5446554868,39291
1996,04:31.0,Navy,R&D,5640118692,8578
2012,04:31.0,Air Force,ERS,9207777657,15141
2012,04:31.0,Other DoD,Products,2635096752,21729
2002,04:31.0,Other DoD,R&D,770575208,1121
2004,04:31.0,MDA,FRS&C,147449176.8,262
2013,04:31.0,Navy,FRS&C,7085262258,31868
2003,04:31.0,Air Force,FRS&C,4927561755,16699
2002,04:31.0,MilitaryHealth,Products,97991,3
2011,04:31.0,Air Force,ICT,1999650537,8563
2001,04:31.0,MilitaryHealth,Products,264305,1
1999,04:31.0,DLA,MED,1356717,7
1994,04:31.0,Air Force,ICT,965808126,3690
2008,04:31.0,Navy,MED,485895849,5356
1994,04:31.0,Navy,ICT,1120619623,5163
2009,04:31.0,Navy,MED,521339439.4,6057
1998,04:31.0,Other DoD,FRS&C,101709765,271
2004,04:31.0,Army,ERS,3025228080,25607
2007,04:31.0,Other DoD,ICT,3838225302,33476
2009,04:31.0,Other DoD,ICT,4182129679,30997
1990,04:31.0,Army,MED,123213000,NULL
2006,04:31.0,MilitaryHealth,FRS&C,21334,3
2014,04:31.0,MilitaryHealth,ERS,636943.7686,11
2002,04:31.0,Air Force,ERS,2907218133,4637
2000,04:31.0,Other DoD,FRS&C,346509607,479
2002,04:31.0,Navy,PAMS,6683063379,33696
1992,04:31.0,Other DoD,ICT,1574964618,NULL
2003,04:31.0,Air Force,NULL,1008658.1,13
2004,04:31.0,Army,Products,26905675345,152926
1995,04:31.0,Navy,Products,16720712728,22824
1997,04:31.0,MDA,Products,1702744,12
1997,04:31.0,Navy,ERS,4057867599,7113
2000,04:31.0,Army,Fuel,5004049,85
2000,04:31.0,MilitaryHealth,ICT,939214,2
2002,04:31.0,Air Force,Products,23616239206,21364
2004,04:31.0,Navy,PAMS,6627550968,32738
2004,04:31.0,DLA,ERS,75655118.22,378
1989,04:31.0,Army,ERS,1037000,NULL
1994,04:31.0,DLA,R&D,3924844,9
1994,04:31.0,DLA,PAMS,47045808,265
2007,04:31.0,Army,NULL,19375859.56,29
1992,04:31.0,DLA,PAMS,31501205,NULL
2002,04:31.0,Navy,R&D,8058228857,10375
2005,04:31.0,DLA,MED,1725164,25
1995,04:31.0,Navy,Fuel,4043532,71
1996,04:31.0,DLA,FRS&C,120491345,892
1993,04:31.0,Navy,Fuel,6847931,NULL
2011,04:31.0,Army,PAMS,30568401053,86585
2010,04:31.0,Other DoD,PAMS,4562624804,15045
2000,04:31.0,Air Force,Fuel,35114316,254
2002,04:31.0,Army,Fuel,21726146,274
2000,04:31.0,Navy,NULL,25841,7
1992,04:31.0,Air Force,FRS&C,3896763839,NULL
2005,04:31.0,Army,MED,1113794611,8860
2002,04:31.0,DLA,Products,8350662269,70824
2007,04:31.0,Army,ICT,2748290807,14561
2009,04:31.0,Army,NULL,1180254.54,24
1988,04:31.0,Army,ICT,34000,NULL
2000,04:31.0,DLA,Fuel,3494928357,626
2013,04:31.0,MDA,FRS&C,25798217.94,47
2000,04:31.0,Air Force,Products,17104843453,19145
2012,04:31.0,Navy,Products,50536288554,121853
1990,04:31.0,Other DoD,ICT,293161000,NULL
2009,04:31.0,DLA,R&D,47647269,111
2004,04:31.0,Other DoD,NULL,1969306.04,237
1992,04:31.0,Air Force,PAMS,3896398578,NULL
1992,04:31.0,Air Force,R&D,8429728250,NULL
2008,04:31.0,MDA,PAMS,356139987.2,576
2009,04:31.0,Air Force,R&D,13519841478,16677
1996,04:31.0,Army,FRS&C,8380347524,23884
