TableName,AccountDSI,BudgetActivity,BudgetActivityTitle,BSA,BSAtitle,LineItem,LineItemTitle,CostType,CostTypeTitle,ProcurementCategory,Classified,FiscalYear,OriginType,PBtotal,PBtotal,PBtype,EnactedTotal,EnactedType,SpecialType,ActualTotal,QuantPBtotal,QuantPBtype,QuantEnactedTotal,QuantEnactedType,QuantSpecialType,QuantActualTotal
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2015,Total,0,0,0,0,0,0,927568,0,0,0,0,0,4
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2016,Base,0,0,0,0,1062542,0,0,0,0,0,6,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2016,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2016,Total,0,0,0,1062542,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2017,Base,0,0,939280,0,0,0,0,0,4,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2017,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2017,Total,939280,939280,0,0,0,0,0,4,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2015,Total,0,0,0,0,0,0,1287605,0,0,0,0,0,6
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2016,Base,0,0,0,0,2291599,0,0,0,0,0,15,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2016,Total,0,0,0,2291599,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2016,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2017,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2017,Base,0,0,2240828,0,0,0,0,0,16,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2017,Total,2240828,2240828,0,0,0,0,0,16,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,1999,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2000,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2000,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2001,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2001,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2001,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2002,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2002,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2002,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2003,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2003,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2003,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2004,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2004,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2004,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2005,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2005,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2005,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2006,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2006,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2006,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2007,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2007,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2007,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2008,Total,0,0,0,0,0,0,1229367,0,0,0,0,0,6
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2008,Total,0,0,0,1229542,0,0,0,0,0,6,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2008,Total,1112564,1112564,0,0,0,0,0,6,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2009,Total,0,0,0,0,0,0,1553593,0,0,0,0,0,7
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2009,Total,0,0,0,1553811,0,0,0,0,0,7,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2009,Total,1720874,1720874,0,0,0,0,0,8,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2010,Total,0,0,0,0,0,0,4227973,0,0,0,0,0,20
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2010,Total,0,0,0,4242876,0,0,0,0,0,20,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2010,Total,4212096,4212096,0,0,0,0,0,20,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2010,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2010,OCO.Sup,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2011,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2011,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2011,CR.OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2011,Total,2146611,2146611,0,0,0,0,0,7,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2011,Total,0,0,0,0,0,0,2123111,0,0,0,0,0,7
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2011,CR,0,0,0,0,0,2154472,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2011,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2012,Total,0,0,0,0,0,0,1656382,0,0,0,0,0,7
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2012,Total,0,0,0,1657381,0,0,0,0,0,7,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2012,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2012,Total,1722991,1722991,0,0,0,0,0,7,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2012,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2013,Total,0,0,0,0,0,0,917052,0,0,0,0,0,4
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2013,Total,0,0,0,1116698,0,0,0,0,0,4,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2013,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2013,Total,1116698,1116698,0,0,0,0,0,4,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2013,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2014,Total,1200624,1200624,0,0,0,0,0,4,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2014,Total,0,0,0,0,0,0,1059114,0,0,0,0,0,4
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2014,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2014,Total,0,0,0,1059114,0,0,0,0,0,4,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2014,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2015,Total,0,0,0,927568,0,0,0,0,0,4,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2015,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2015,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2015,Total,689668,689668,0,0,0,0,0,2,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2016,Total,926942,926942,0,0,0,0,0,4,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2016,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2009,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2010,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2010,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2010,OCO.Sup,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,CR.OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,Total,0,0,0,0,0,0,553521,0,0,0,0,0,3
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,CR,0,0,0,0,0,2300548,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,152,JSF STOVL,A,Weapon System Cost,Aircraft,,2011,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
